epoch_num,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_contradiction_recall,eval_contradiction_f1,eval_entailment_recall,eval_neutral_recall
1,1.0,334,0.1787,0.972,0.9684,0.9043,0.9392,0.9854,1.0
2,2.0,668,0.1919,0.9744,0.9708,0.8936,0.9385,0.9951,1.0
3,3.0,1002,0.1812,0.9814,0.979,0.9255,0.956,0.9951,1.0
